Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Avg,Segment
12346.0,165,33,27964.5,1,2,2,122,1.6666666666666667,Lost
12347.0,40,40,45864.75,3,3,3,333,3.0,Promising
12348.0,74,20,16662.0,2,2,1,221,1.6666666666666667,Lost
12349.0,43,102,200335.5,3,4,4,344,3.6666666666666665,Loyal Customers
12351.0,11,21,22569.75,4,2,2,422,2.6666666666666665,Potential Loyalists
12352.0,11,18,25785.0,4,2,2,422,2.6666666666666665,Potential Loyalists
12353.0,44,20,23832.0,3,2,2,322,2.333333333333333,Promising
12355.0,203,22,36615.75,1,2,2,122,1.6666666666666667,Lost
12356.0,16,84,267168.75,4,3,4,434,3.6666666666666665,Potential Loyalists
12357.0,24,165,905999.25,3,4,4,344,3.6666666666666665,Loyal Customers
12358.0,11,58,203925.75,4,3,4,434,3.6666666666666665,Potential Loyalists
12359.0,61,117,192252.0,2,4,4,244,3.333333333333333,Big Spenders
12360.0,15,88,119312.25,4,3,4,434,3.6666666666666665,Potential Loyalists
12361.0,98,19,24101.25,2,2,2,222,2.0,Lost
12362.0,374,1,9750.0,1,1,1,111,1.0,Lost
12366.0,269,3,37518.0,1,1,2,112,1.3333333333333333,Lost
12368.0,264,18,68827.5,1,2,3,123,2.0,Hibernating
12369.0,49,93,134336.25,2,4,4,244,3.333333333333333,Big Spenders
12370.0,260,35,58096.5,1,2,3,123,2.0,Hibernating
12371.0,45,104,163456.5,3,4,4,344,3.6666666666666665,Loyal Customers
12373.0,260,37,57228.75,1,2,3,123,2.0,Hibernating
12374.0,57,50,168471.75,2,3,4,234,3.0,Big Spenders
12376.0,25,13,37736.25,3,1,2,312,2.0,New Customers
12377.0,17,75,134865.0,4,3,4,434,3.6666666666666665,Potential Loyalists
12378.0,198,82,105577.5,1,3,3,133,2.333333333333333,At Risk
12379.0,58,41,57598.5,2,3,3,233,2.6666666666666665,At Risk
12380.0,101,173,521361.75,2,4,4,244,3.333333333333333,Big Spenders
12385.0,15,65,145380.0,4,3,4,434,3.6666666666666665,Potential Loyalists
12387.0,51,9,10795.5,2,1,1,211,1.3333333333333333,Lost
12388.0,81,46,84033.75,2,3,3,233,2.6666666666666665,At Risk
12389.0,38,49,107499.75,3,3,3,333,3.0,Promising
12391.0,100,181,173439.75,2,4,4,244,3.333333333333333,Big Spenders
12392.0,227,7,17606.25,1,1,1,111,1.0,Lost
12393.0,18,43,61263.75,4,3,3,433,3.333333333333333,Potential Loyalists
12395.0,42,86,127690.5,3,3,4,334,3.333333333333333,Big Spenders
12396.0,310,65,69857.25,1,3,3,133,2.333333333333333,At Risk
12399.0,21,51,64023.75,3,3,3,333,3.0,Promising
12400.0,50,11,15393.75,2,1,1,211,1.3333333333333333,Lost
